Group,Variable,Mean,SD,N
Pooled,Benevolencia,5.3843797856049,0.7456629958596795,653
Pooled,Universalismo,4.7549770290964775,1.0587035745070394,653
Pooled,Poder,4.647779479326187,1.1885117777180734,653
Pooled,Logro,4.687595712098009,1.182872093020984,653
Pooled,APS1,4.258805513016846,0.8733106990913796,653
Pooled,APS2,4.324655436447167,0.8590666281404856,653
Pooled,APS3,4.531393568147013,0.783853967725688,653
Pooled,APS4,4.540581929555896,0.7411798119210605,653
Pooled,APS5,4.586523736600307,0.7413730927829664,653
Pooled,APS6,4.439509954058193,0.7742606241362667,653
Pooled,APS7,4.473200612557427,0.7859785533842462,653
Pooled,APS9,4.588055130168454,0.7180696152993286,653
Pooled,APS10,4.575803981623277,0.7425475371674514,653
Pooled,APS14,4.44104134762634,0.8130266975102594,653
Pooled,APS11,3.977029096477795,0.9756667033486702,653
Pooled,APS12,4.398162327718223,0.7758606885035003,653
Pooled,APS13,4.4257274119448695,0.8136562367450142,653
Pooled,APS15,4.402756508422665,0.8571917323919088,653
Pooled,APS16,4.336906584992343,0.8596979703104793,653
Pooled,APS18,3.9555895865237365,1.12808003594548,653
Pooled,APS19,3.9249617151607965,1.070607822918931,653
Pooled,APS20,3.785604900459418,1.0552125117169167,653
Pooled,APS21,4.263399693721286,0.9835263123972944,653
Pooled,PP1,4.091883614088821,0.8848477245469969,653
Pooled,PP2,4.192955589586524,0.8487518765956811,653
Pooled,PP3,4.214395099540582,0.8214761945031992,653
Pooled,CSR1_bin,0.6156202143950995,0.4868212181966364,653
Argentina,Benevolencia,5.298611111111111,0.8114552334907921,144
Argentina,Universalismo,4.368055555555555,1.204574774972641,144
Argentina,Poder,4.652777777777778,1.2251413187756142,144
Argentina,Logro,4.430555555555555,1.2213301116599238,144
Argentina,APS1,3.9444444444444446,0.9949366763261821,144
Argentina,APS2,3.9652777777777777,1.0132906612902166,144
Argentina,APS3,4.326388888888889,0.9374109644330582,144
Argentina,APS4,4.354166666666667,0.8566380048355731,144
Argentina,APS5,4.347222222222222,0.9484580378554708,144
Argentina,APS6,4.097222222222222,0.9987365756167877,144
Argentina,APS7,4.180555555555555,0.958238314940844,144
Argentina,APS9,4.319444444444445,0.958238314940844,144
Argentina,APS10,4.277777777777778,0.9712254852911054,144
Argentina,APS14,4.097222222222222,1.072996226144762,144
Argentina,APS11,3.513888888888889,1.010338938567039,144
Argentina,APS12,4.159722222222222,0.9211060123222983,144
Argentina,APS13,4.097222222222222,1.0598815374129664,144
Argentina,APS15,4.131944444444445,0.9625616157030489,144
Argentina,APS16,3.8541666666666665,1.0442566868217928,144
Argentina,APS18,3.2083333333333335,1.2508738204492549,144
Argentina,APS19,3.3680555555555554,1.192907523879517,144
Argentina,APS20,3.5069444444444446,1.1766761755329382,144
Argentina,APS21,3.7847222222222223,1.1894830189497674,144
Argentina,PP1,3.7916666666666665,0.9885710532241612,144
Argentina,PP2,4.006944444444445,0.9423711188079384,144
Argentina,PP3,4.138888888888889,0.8739518086209124,144
Argentina,CSR1_bin,0.2361111111111111,0.426173593297299,144
Colombia,Benevolencia,5.386904761904762,0.7809528590900356,168
Colombia,Universalismo,4.738095238095238,1.0279803770238276,168
Colombia,Poder,4.636904761904762,1.235335999957728,168
Colombia,Logro,4.541666666666667,1.1470042556481863,168
Colombia,APS1,4.363095238095238,0.7847772881990132,168
Colombia,APS2,4.375,0.8664574444218319,168
Colombia,APS3,4.559523809523809,0.6981788195730164,168
Colombia,APS4,4.595238095238095,0.7521473868027426,168
Colombia,APS5,4.726190476190476,0.543908905638899,168
Colombia,APS6,4.511904761904762,0.692025537223017,168
Colombia,APS7,4.553571428571429,0.740277732081623,168
Colombia,APS9,4.678571428571429,0.6221599287187629,168
Colombia,APS10,4.684523809523809,0.6204101497563769,168
Colombia,APS14,4.535714285714286,0.7332387112659069,168
Colombia,APS11,4.136904761904762,0.9216335097015155,168
Colombia,APS12,4.505952380952381,0.6833960969041001,168
Colombia,APS13,4.607142857142857,0.6096599060349289,168
Colombia,APS15,4.517857142857143,0.725689548489571,168
Colombia,APS16,4.428571428571429,0.8084244199500654,168
Colombia,APS18,4.101190476190476,1.0646181230529124,168
Colombia,APS19,4.029761904761905,0.9629395814805718,168
Colombia,APS20,3.6964285714285716,1.0764708838281152,168
Colombia,APS21,4.428571428571429,0.8231051807515142,168
Colombia,PP1,4.238095238095238,0.7984873066613797,168
Colombia,PP2,4.166666666666667,0.8382092879342494,168
Colombia,PP3,4.166666666666667,0.8382092879342494,168
Colombia,CSR1_bin,0.8095238095238095,0.39385065032198857,168
Peru,Benevolencia,5.325153374233129,0.7190823677714389,163
Peru,Universalismo,4.901840490797546,0.9310469609721951,163
Peru,Poder,4.50920245398773,1.224079892088814,163
Peru,Logro,4.638036809815951,1.2111727093895432,163
Peru,APS1,4.269938650306749,0.8319347500325656,163
Peru,APS2,4.47239263803681,0.6877489083474588,163
Peru,APS3,4.674846625766871,0.6073971546621129,163
Peru,APS4,4.613496932515337,0.62187642548241,163
Peru,APS5,4.674846625766871,0.5971479083772169,163
Peru,APS6,4.576687116564417,0.6372753104057505,163
Peru,APS7,4.558282208588957,0.685818961725147,163
Peru,APS9,4.705521472392638,0.5203573717063847,163
Peru,APS10,4.607361963190184,0.6328027292133196,163
Peru,APS14,4.539877300613497,0.6781000943358932,163
Peru,APS11,3.96319018404908,0.9222193477341228,163
Peru,APS12,4.411042944785276,0.7513778401298432,163
Peru,APS13,4.478527607361963,0.7398483604464844,163
Peru,APS15,4.576687116564417,0.7769496029024511,163
Peru,APS16,4.478527607361963,0.714379842533588,163
Peru,APS18,4.122699386503068,0.9281137524402691,163
Peru,APS19,4.030674846625767,0.9902195347275243,163
Peru,APS20,3.8773006134969323,0.9923970614588769,163
Peru,APS21,4.380368098159509,0.9243522186705538,163
Peru,PP1,4.085889570552148,0.8119384897803844,163
Peru,PP2,4.233128834355829,0.7582513357967277,163
Peru,PP3,4.220858895705521,0.8166820850948198,163
Peru,CSR1_bin,0.6012269938650306,0.4911548158106503,163
Mexico,Benevolencia,5.50561797752809,0.6659362468530472,178
Mexico,Universalismo,4.949438202247191,0.9930405964022642,178
Mexico,Poder,4.780898876404494,1.0694923453311362,178
Mexico,Logro,5.078651685393258,1.065374066039888,178
Mexico,APS1,4.404494382022472,0.8263882498658137,178
Mexico,APS2,4.432584269662922,0.780015251321108,178
Mexico,APS3,4.53932584269663,0.8377556751182225,178
Mexico,APS4,4.573033707865169,0.7112913449413215,178
Mexico,APS5,4.567415730337078,0.7872250169562576,178
Mexico,APS6,4.522471910112359,0.6740136646318494,178
Mexico,APS7,4.556179775280899,0.7048588521091009,178
Mexico,APS9,4.612359550561798,0.681692845444149,178
Mexico,APS10,4.685393258426966,0.6654594541758607,178
Mexico,APS14,4.53932584269663,0.6732362145423549,178
Mexico,APS11,4.213483146067416,0.9202297688066584,178
Mexico,APS12,4.477528089887641,0.714696855493081,178
Mexico,APS13,4.47191011235955,0.7454553477508782,178
Mexico,APS15,4.353932584269663,0.8979016567865049,178
Mexico,APS16,4.51123595505618,0.7149632683460816,178
Mexico,APS18,4.269662921348314,0.9830661700900902,178
Mexico,APS19,4.179775280898877,0.9807387709204953,178
Mexico,APS20,4.01123595505618,0.9266229557931074,178
Mexico,APS21,4.387640449438202,0.8709135699162137,178
Mexico,PP1,4.202247191011236,0.8852817264360293,178
Mexico,PP2,4.331460674157303,0.835118382706312,178
Mexico,PP3,4.314606741573034,0.7605455315042076,178
Mexico,CSR1_bin,0.7528089887640449,0.4325956052236992,178
